log_datetime page_of_speech row_index
2020-04-21 20:47:08 9 174
2020-04-21 20:48:08 9 175
2020-04-21 20:49:19 9 176
2020-04-21 20:50:24 9 177
2020-04-21 20:51:24 9 178
2020-04-21 20:52:44 9 179
2020-04-22 15:55:04 10 180
2020-04-22 15:56:54 10 181
2020-04-22 15:57:46 10 182
2020-04-22 15:58:39 10 183
2020-04-22 15:59:14 10 184
2020-04-22 16:00:07 10 185
2020-04-22 16:00:55 10 186
2020-04-22 16:02:21 10 187
2020-04-22 16:03:06 10 188
2020-04-22 16:04:33 10 189
2020-04-22 16:05:16 10 190
2020-04-22 16:07:03 10 191
2020-04-22 16:09:05 10 192
2020-04-22 16:09:54 10 193
2020-04-22 16:10:40 10 194
2020-04-22 16:12:11 10 195
2020-04-22 16:12:57 10 196
2020-04-22 16:14:12 10 197
2020-04-22 16:15:15 10 198
2020-04-22 16:17:31 10 199
2020-04-22 16:18:42 11 200
2020-04-22 16:19:40 11 201
2020-04-22 16:20:49 11 202
2020-04-22 16:21:45 11 203
2020-04-22 16:25:20 11 204
2020-04-22 16:26:06 11 205
2020-04-22 16:26:53 11 206
2020-04-22 16:28:10 11 207
2020-04-22 16:29:27 11 208
2020-04-22 16:30:23 11 209
2020-04-22 16:31:07 11 210
2020-04-22 16:33:38 11 211
2020-04-22 16:34:11 11 212
2020-04-22 16:34:58 11 213
2020-04-22 16:35:52 11 214
2020-04-22 16:36:57 11 215
2020-04-22 16:37:59 11 216
2020-04-22 16:38:45 11 217
2020-04-22 16:39:32 11 218
2020-04-22 16:40:14 11 219
2020-04-22 16:42:14 12 220
2020-04-22 16:42:51 12 221
2020-04-22 16:44:20 12 222
2020-04-22 16:45:02 12 223
2020-04-22 16:45:43 12 224
2020-04-22 16:47:54 12 225
2020-04-22 16:48:33 12 226
2020-04-22 16:49:23 12 227
2020-04-22 16:51:24 12 228
2020-04-22 16:52:39 12 229
2020-04-22 16:55:28 12 230
2020-04-22 16:56:30 12 231
2020-04-22 16:58:00 12 232
2020-04-22 16:58:43 12 233
2020-04-22 16:59:36 12 234
2020-04-22 17:00:14 12 235
2020-04-22 17:00:53 12 236
2020-04-22 17:01:30 12 237
2020-04-22 17:02:55 12 238
2020-04-22 17:05:43 12 239
2020-04-22 17:06:47 13 240
2020-04-22 17:07:27 13 241
2020-04-22 17:08:19 13 242
2020-04-22 18:59:47 13 243
2020-04-22 20:43:12 13 244
2020-04-22 20:45:08 13 245
2020-04-22 20:46:05 13 246
2020-04-22 20:47:02 13 247
2020-04-22 20:48:48 13 248
2020-04-22 20:50:15 13 249
2020-04-22 20:51:03 13 250
2020-04-22 20:51:46 13 251
2020-04-22 20:53:07 13 252
2020-04-22 20:55:09 13 253
2020-04-22 20:56:38 13 254
2020-04-22 20:57:38 13 255
2020-04-22 20:58:34 13 256
2020-04-22 21:00:07 13 257
2020-04-22 21:02:00 13 258
2020-04-22 21:02:56 13 259
2020-04-22 21:04:25 14 260
2020-04-22 21:05:35 14 261
2020-04-22 21:11:02 14 262
2020-04-22 21:12:12 14 263
2020-04-22 23:17:46 14 264
2020-04-22 23:18:19 14 265
2020-04-22 23:18:54 14 266
2020-04-22 23:19:34 14 267
2020-04-22 23:20:06 14 268
2020-04-22 23:20:40 14 269
2020-04-22 23:21:22 14 270
2020-04-22 23:22:02 14 271
2020-04-22 23:22:36 14 272
2020-04-22 23:23:17 14 273
2020-04-22 23:23:59 14 274
2020-04-22 23:24:34 14 275
2020-04-22 23:25:26 14 276
2020-04-22 23:26:11 14 277
2020-04-22 23:26:55 14 278
2020-04-22 23:27:36 14 279
2020-04-22 23:28:36 15 280
2020-04-22 23:29:11 15 281
2020-04-22 23:29:54 15 282
2020-04-22 23:30:31 15 283
2020-04-22 23:31:04 15 284
2020-04-22 23:31:39 15 285
2020-04-22 23:32:21 15 286
